Implicated	Position.Culture	Position.Al.H	Position.Al.A	Protest	Media.Passive	Info.Active	Phytosanitary.products	Hunger	Animal.feed	Future.Progress	Danger	Threat	Finan.risk	Useless.practice	Grandparents	Sex	Age	Profession	Relation	Political.Party
Not at all	Somewhat_Against_PC	Totally_opposed_P.Al.H	Totally_opposed_P.Al.A	No_Protest	yes_Media.Passive	No_Info.Active	No_Phytosanitary.products	Yes_Hunger	No_Animal.feed	No_Future.Progress	No_Danger	Yes_Threat	No_Finan.risk	No_Useless.practice	Yes_Grandparents	H	[26; 40]	Retailer 	No_Relation	Greens
Certain extent	Favourable_PC	Somewhat_Against_P.Al.H	Favourable_P.Al.A	No_Protest	yes_Media.Passive	No_Info.Active	No_Phytosanitary.products	Yes_Hunger	No_Animal.feed	Yes_Future.Progress	Yes_Danger	No_Threat	Yes_Finan.risk	No_Useless.practice	Yes_Grandparents	H	> 60	Senior Management 	No_Relation	Right
A little	Favourable_PC	Somewhat_Against_P.Al.H	Somewhat_Against_P.Al.A	No_Protest	No_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	Yes_Animal.feed	Yes_Future.Progress	Yes_Danger	No_Threat	Yes_Finan.risk	No_Useless.practice	Yes_Grandparents	F	[41; 60]	Technician	No_Relation	Right
A little	Favourable_PC	Favourable_P.Al.H	V_Favourable_P.Al.A	No_Protest	yes_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	No_Animal.feed	No_Future.Progress	No_Danger	No_Threat	No_Finan.risk	No_Useless.practice	No_Grandparents	H	[41; 60]	Senior Management 	No_Relation	Right
Certain extent	Somewhat_Against_PC	Favourable_P.Al.H	Favourable_P.Al.A	No_Protest	No_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	No_Animal.feed	Yes_Future.Progress	No_Danger	No_Threat	Yes_Finan.risk	No_Useless.practice	No_Grandparents	F	[41; 60]	Unemployed	No_Relation	Right
A lot 	Favourable_PC	Favourable_P.Al.H	V_Favourable_P.Al.A	No_Protest	No_Media.Passive	Yes_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	Yes_Animal.feed	Yes_Future.Progress	Yes_Danger	Yes_Threat	Yes_Finan.risk	No_Useless.practice	No_Grandparents	H	< 25	Student	Yes_Relation	Right
Certain extent	Favourable_PC	Favourable_P.Al.H	V_Favourable_P.Al.A	No_Protest	No_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	No_Hunger	Yes_Animal.feed	Yes_Future.Progress	Yes_Danger	Yes_Threat	No_Finan.risk	No_Useless.practice	Yes_Grandparents	H	< 25	Student	Yes_Relation	Right
Not at all	Favourable_PC	Favourable_P.Al.H	Favourable_P.Al.A	No_Protest	yes_Media.Passive	No_Info.Active	No_Phytosanitary.products	Yes_Hunger	No_Animal.feed	Yes_Future.Progress	Yes_Danger	No_Threat	No_Finan.risk	No_Useless.practice	Yes_Grandparents	H	< 25	Student	No_Relation	Right
Certain extent	Somewhat_Against_PC	Somewhat_Against_P.Al.H	Somewhat_Against_P.Al.A	No_Protest	No_Media.Passive	Yes_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	No_Animal.feed	No_Future.Progress	Yes_Danger	No_Threat	No_Finan.risk	No_Useless.practice	Yes_Grandparents	F	< 25	Student	No_Relation	Right
Certain extent	Totally_opposed_PC	Totally_opposed_P.Al.H	Totally_opposed_P.Al.A	No_Protest	No_Media.Passive	Yes_Info.Active	Yes_Phytosanitary.products	No_Hunger	Yes_Animal.feed	No_Future.Progress	Yes_Danger	Yes_Threat	Yes_Finan.risk	No_Useless.practice	Yes_Grandparents	F	< 25	Student	No_Relation	Left
A little	Favourable_PC	Favourable_P.Al.H	V_Favourable_P.Al.A	No_Protest	yes_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	No_Hunger	Yes_Animal.feed	No_Future.Progress	Yes_Danger	No_Threat	No_Finan.risk	No_Useless.practice	Yes_Grandparents	F	< 25	Student	No_Relation	Right
Certain extent	Favourable_PC	Favourable_P.Al.H	Favourable_P.Al.A	No_Protest	yes_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	No_Animal.feed	Yes_Future.Progress	No_Danger	No_Threat	Yes_Finan.risk	No_Useless.practice	No_Grandparents	F	< 25	Student	Yes_Relation	Liberal
Certain extent	Favourable_PC	Favourable_P.Al.H	Favourable_P.Al.A	No_Protest	No_Media.Passive	Yes_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	No_Animal.feed	Yes_Future.Progress	No_Danger	No_Threat	Yes_Finan.risk	No_Useless.practice	No_Grandparents	H	< 25	Student	Yes_Relation	Left
Certain extent	Somewhat_Against_PC	Somewhat_Against_P.Al.H	Somewhat_Against_P.Al.A	No_Protest	yes_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	No_Hunger	Yes_Animal.feed	No_Future.Progress	Yes_Danger	Yes_Threat	No_Finan.risk	No_Useless.practice	No_Grandparents	F	< 25	Student	Yes_Relation	Extreme left
A little	Somewhat_Against_PC	Somewhat_Against_P.Al.H	Somewhat_Against_P.Al.A	No_Protest	No_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	Yes_Animal.feed	Yes_Future.Progress	Yes_Danger	No_Threat	No_Finan.risk	No_Useless.practice	No_Grandparents	F	< 25	Student	Yes_Relation	Left
Certain extent	Somewhat_Against_PC	Somewhat_Against_P.Al.H	Somewhat_Against_P.Al.A	No_Protest	No_Media.Passive	Yes_Info.Active	No_Phytosanitary.products	No_Hunger	Yes_Animal.feed	No_Future.Progress	Yes_Danger	No_Threat	No_Finan.risk	No_Useless.practice	No_Grandparents	F	< 25	Student	Yes_Relation	Left
Certain extent	Favourable_PC	Somewhat_Against_P.Al.H	Favourable_P.Al.A	No_Protest	No_Media.Passive	No_Info.Active	No_Phytosanitary.products	Yes_Hunger	No_Animal.feed	Yes_Future.Progress	Yes_Danger	Yes_Threat	Yes_Finan.risk	No_Useless.practice	No_Grandparents	F	< 25	Student	Yes_Relation	Left
Certain extent	Somewhat_Against_PC	Somewhat_Against_P.Al.H	Favourable_P.Al.A	No_Protest	yes_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	No_Animal.feed	No_Future.Progress	Yes_Danger	Yes_Threat	No_Finan.risk	No_Useless.practice	Yes_Grandparents	F	< 25	Student	Yes_Relation	Left
Certain extent	Somewhat_Against_PC	Somewhat_Against_P.Al.H	Somewhat_Against_P.Al.A	No_Protest	No_Media.Passive	No_Info.Active	No_Phytosanitary.products	Yes_Hunger	No_Animal.feed	Yes_Future.Progress	Yes_Danger	No_Threat	No_Finan.risk	No_Useless.practice	Yes_Grandparents	F	< 25	Student	Yes_Relation	Left
